iter	Passed	Remaining
436	1333	1718
437	1336	1714
438	1338	1710
439	1341	1706
440	1343	1702
441	1345	1698
442	1348	1695
443	1350	1691
444	1352	1687
445	1354	1683
446	1357	1678
447	1359	1675
448	1362	1671
449	1365	1668
450	1368	1665
451	1370	1661
452	1373	1658
453	1375	1654
454	1377	1650
455	1380	1646
456	1383	1643
457	1385	1640
458	1388	1636
459	1390	1632
460	1393	1628
461	1395	1625
462	1397	1621
463	1400	1617
464	1402	1613
465	1404	1609
466	1407	1606
467	1409	1602
468	1411	1598
469	1414	1594
470	1416	1590
471	1418	1586
472	1421	1583
473	1423	1580
474	1426	1576
475	1429	1573
476	1431	1569
477	1434	1566
478	1436	1562
479	1439	1559
480	1442	1555
481	1444	1552
482	1447	1549
483	1449	1545
484	1452	1541
485	1454	1538
486	1457	1535
487	1459	1531
488	1461	1527
489	1464	1523
490	1466	1520
491	1468	1516
492	1471	1513
493	1473	1509
494	1475	1505
495	1478	1502
496	1480	1498
497	1483	1495
498	1485	1491
499	1487	1487
500	1490	1484
501	1492	1481
502	1495	1477
503	1497	1473
504	1500	1470
505	1502	1466
506	1504	1463
507	1507	1459
508	1509	1456
509	1511	1452
510	1514	1449
511	1517	1446
512	1520	1443
513	1522	1439
514	1524	1435
515	1527	1432
516	1529	1428
517	1531	1425
518	1534	1421
519	1536	1418
520	1538	1414
521	1541	1411
522	1543	1407
523	1545	1404
524	1548	1400
525	1550	1397
526	1552	1393
527	1555	1390
528	1557	1386
529	1560	1383
530	1562	1380
531	1564	1376
532	1567	1373
533	1569	1369
534	1572	1366
535	1575	1363
536	1578	1360
537	1581	1357
538	1583	1354
539	1585	1350
540	1587	1347
541	1590	1343
542	1593	1340
543	1595	1337
544	1598	1334
545	1600	1330
546	1602	1327
547	1605	1324
548	1607	1320
549	1609	1317
550	1612	1313
551	1614	1310
552	1616	1307
553	1619	1304
554	1622	1300
555	1624	1297
556	1626	1293
557	1628	1290
558	1630	1286
559	1633	1283
560	1635	1280
561	1638	1276
562	1640	1273
563	1643	1270
564	1645	1266
565	1647	1263
566	1650	1260
567	1653	1257
568	1655	1254
569	1657	1250
570	1660	1247
571	1662	1244
572	1664	1240
573	1667	1237
574	1669	1234
575	1671	1230
576	1674	1227
577	1676	1224
578	1678	1220
579	1681	1217
580	1683	1214
581	1685	1210
582	1687	1207
583	1690	1204
584	1692	1200
585	1694	1197
586	1697	1194
587	1700	1191
588	1702	1188
589	1705	1184
590	1707	1181
591	1710	1178
592	1712	1175
593	1714	1172
594	1717	1168
595	1719	1165
596	1721	1162
597	1724	1159
598	1726	1155
599	1729	1152
600	1731	1149
601	1733	1146
602	1736	1143
603	1738	1139
604	1740	1136
605	1743	1133
606	1746	1130
607	1748	1127
608	1750	1124
609	1752	1120
610	1755	1117
611	1757	1114
612	1760	1111
613	1762	1107
614	1764	1104
615	1766	1101
616	1769	1098
617	1771	1095
618	1774	1091
619	1776	1088
620	1779	1085
621	1781	1082
622	1783	1079
623	1787	1076
624	1789	1073
625	1792	1071
626	1795	1068
627	1798	1065
628	1801	1062
629	1803	1059
630	1806	1056
631	1808	1053
632	1811	1050
633	1813	1047
634	1816	1044
635	1819	1041
636	1821	1038
637	1824	1035
638	1827	1032
639	1830	1029
640	1832	1026
641	1835	1023
642	1838	1020
643	1841	1017
644	1843	1014
645	1847	1012
646	1849	1009
647	1852	1006
648	1855	1003
649	1857	1000
650	1860	997
651	1862	993
652	1864	990
653	1867	988
654	1869	984
655	1872	981
656	1875	979
657	1878	976
658	1881	973
659	1884	970
660	1886	967
661	1889	964
662	1891	961
663	1894	958
664	1896	955
665	1899	952
666	1901	949
667	1903	946
668	1906	943
669	1908	939
670	1910	936
671	1913	933
672	1915	930
673	1918	927
674	1920	924
675	1922	921
676	1924	918
677	1927	915
678	1929	912
679	1932	909
680	1934	906
681	1937	903
682	1939	900
683	1942	897
684	1944	894
685	1946	891
686	1948	887
687	1951	884
688	1953	881
689	1955	878
690	1957	875
691	1960	872
692	1962	869
693	1965	866
694	1968	863
695	1971	860
696	1973	858
697	1975	854
698	1978	851
699	1980	848
700	1983	845
701	1985	842
702	1987	839
703	1989	836
704	1992	833
705	1994	830
706	1996	827
707	1999	824
708	2001	821
709	2003	818
710	2005	815
711	2008	812
712	2010	809
713	2012	806
714	2015	803
715	2017	800
716	2020	797
717	2022	794
718	2025	791
719	2027	788
720	2030	785
721	2032	782
722	2034	779
723	2037	776
724	2039	773
725	2041	770
726	2043	767
727	2046	764
728	2048	761
729	2051	758
730	2053	755
731	2055	752
732	2057	749
733	2060	746
734	2062	743
735	2065	740
736	2067	737
737	2070	735
738	2072	732
739	2075	729
740	2077	726
741	2079	723
742	2081	720
743	2084	717
744	2086	714
745	2089	711
746	2091	708
747	2093	705
748	2095	702
749	2098	699
750	2100	696
751	2102	693
752	2105	690
753	2107	687
754	2109	684
755	2112	681
756	2114	678
757	2117	675
758	2119	672
759	2121	670
760	2123	667
761	2126	664
762	2128	661
763	2130	658
764	2133	655
765	2136	652
766	2138	649
767	2140	646
768	2143	643
769	2145	640
770	2148	638
771	2151	635
772	2153	632
