iter	Logloss
0	0.6771469775
1	0.6628569992
2	0.6495312075
3	0.6371772398
4	0.6251734068
5	0.6138025818
6	0.6048313996
7	0.5938988784
8	0.5844571218
9	0.57580097
10	0.5669786042
11	0.5585976792
12	0.5517684364
13	0.5442356413
14	0.5376205493
15	0.532465341
16	0.5258474623
17	0.5200938589
18	0.5148125495
19	0.5093675788
20	0.5046389579
21	0.5004038751
22	0.4961061046
23	0.4921474285
24	0.4884376359
25	0.4845032298
26	0.4808493184
27	0.4775993984
28	0.4743310823
29	0.4709669909
30	0.468228696
31	0.4656050107
32	0.4626637889
33	0.4602392898
34	0.4579755499
35	0.4559889919
36	0.4536782962
37	0.4514419622
38	0.4496364344
39	0.4475107888
40	0.4455481414
41	0.4437520384
42	0.4420780975
43	0.4404422525
44	0.439079563
45	0.4378522285
46	0.4366323776
47	0.4351501029
48	0.4339914126
49	0.432640579
50	0.4313464373
51	0.429972031
52	0.4289437862
53	0.4279394084
54	0.4270361115
55	0.4260497543
56	0.4253436266
57	0.424393462
58	0.4233788746
59	0.4222618034
60	0.4212348613
61	0.4203460823
62	0.4195949003
63	0.4186405288
64	0.4179142885
65	0.4171564798
66	0.4162836497
67	0.4154210215
68	0.4147328551
69	0.4140587801
70	0.413496757
71	0.4128876516
72	0.4121852756
73	0.4116163202
74	0.4108578503
75	0.4101869548
76	0.4097238417
77	0.4089989654
78	0.4085339747
79	0.4079890223
80	0.4074060397
81	0.4068190029
82	0.4062916656
83	0.4058137559
84	0.4053547957
85	0.4048521765
86	0.4043338132
87	0.4038422296
88	0.4033333119
89	0.4028371501
90	0.402369077
91	0.4020107507
92	0.4015640722
93	0.4012575504
94	0.4008087303
95	0.4003360561
96	0.3998577997
97	0.3994273304
98	0.3990805813
99	0.398785917
100	0.3984442406
101	0.3980188086
102	0.3976342392
103	0.3973201664
104	0.3969246441
105	0.3964772267
106	0.3960759317
107	0.3958039271
108	0.3955055526
109	0.3952500875
110	0.394905228
111	0.3946142722
112	0.3943361685
113	0.3940030597
114	0.3937393314
115	0.3934695816
116	0.3931693827
117	0.3929059493
118	0.3924876919
119	0.3922654017
120	0.3919454831
121	0.3915555692
122	0.3913194311
123	0.3910726258
124	0.3907571236
125	0.3904380918
126	0.390182961
127	0.3900214505
128	0.3897943405
129	0.3896289072
130	0.3894335966
131	0.3891280781
132	0.3888465245
133	0.3886474045
134	0.3884060951
135	0.3881778028
136	0.3877845773
137	0.3875969639
138	0.3873658008
139	0.387163427
140	0.3869229409
141	0.3866487504
142	0.3863248103
143	0.3860965231
144	0.3858250298
145	0.3856364839
146	0.3854494907
147	0.3852705048
148	0.3850663797
149	0.3850370677
150	0.3847341181
151	0.3845362128
152	0.3844271969
153	0.3843447788
154	0.3842312056
155	0.3839632384
156	0.3837612075
157	0.3835844761
158	0.3833830014
159	0.3832416167
160	0.3829572923
161	0.3827872325
162	0.3826192693
163	0.3825175502
164	0.3823064707
165	0.3822019251
166	0.3820756677
167	0.3818717189
168	0.3817415473
169	0.3815543078
170	0.3812864207
171	0.3810943879
172	0.3809249992
173	0.380803861
174	0.3806300812
175	0.3803788346
176	0.3801580518
177	0.3800407195
178	0.3798479495
179	0.3796943355
180	0.3795380543
181	0.3793341235
182	0.3792169861
183	0.3790327328
184	0.3788160522
185	0.3786418144
186	0.3785137481
187	0.3783601174
188	0.3781307407
189	0.3780177468
190	0.3778215875
191	0.3775750138
192	0.3773921767
193	0.3772386053
194	0.3770098762
195	0.3769589667
196	0.3767849604
197	0.3765129021
198	0.3763478717
199	0.376233166
200	0.3761646994
201	0.3761246739
202	0.3759688976
203	0.3758134035
204	0.3756672805
205	0.3755606969
206	0.3753376971
207	0.3751827343
208	0.3749794776
209	0.3746657708
210	0.3744671165
211	0.3743592159
212	0.3742251724
213	0.374081684
214	0.3738666395
215	0.3736587798
216	0.3735776331
217	0.3732936071
218	0.3731000101
219	0.3730239684
220	0.3728771374
221	0.3727320293
222	0.3725315874
223	0.3723893777
224	0.3722109693
225	0.3720857683
226	0.3719698425
227	0.3718507491
228	0.3717473967
229	0.3715674048
230	0.3714456828
231	0.3713311524
232	0.3711391318
233	0.3709534944
234	0.3708636491
235	0.3707412982
236	0.3705662106
237	0.3703255196
238	0.3702140183
239	0.3700278039
240	0.3698405723
241	0.3697587496
242	0.3696391147
243	0.3695782629
244	0.3694296529
245	0.3693018187
246	0.3691396516
247	0.3690656669
248	0.368918193
249	0.3687643336
250	0.3685991761
251	0.368473891
252	0.3683602969
